Name,Frequency
ONUR,5327
HULUSİ,5322
HABİP,5283
ABDÜLKADİR,5277
SAİM,5248
TEKİN,5217
NEZİR,5112
MUSTAFA KEMAL,5095
EYYUP,5077
ERTAN,5060
HAYRULLAH,5052
MUHAMMED,5041
MUHLİS,5017
CELİL,5010
BİNALİ,5004
NAZİM,4961
KAHRAMAN,4935
SITKI,4919
UFUK,4876
LOKMAN,4837
SABİT,4793
BATTAL,4790
DENİZ,4787
BEDRİ,4728
DURDU,4673
MİTHAT,4669
ABDULHAMİT,4640
ÖMER FARUK,4622
FERDİ,4576
HASAN ALİ,4560
ABDULVAHAP,4551
OĞUZ,4551
CÜNEYT,4536
TACETTİN,4530
RİZA,4483
NUH,4466
TALAT,4457
TARIK,4452
SERHAT,4410
TAMER,4402
TURHAN,4384
SEZGİN,4374
HACI ALİ,4371
FIRAT,4317
NEŞET,4277
ERDİNÇ,4269
VEHBİ,4257
İLKER,4222
GÜRSEL,4200
LÜTFÜ,4197
İMDAT,4128
MEHMET SIDDIK,4106
SEYFİ,4066
FESİH,4053
OKAN,4040
NECAT,4037
MEHMET SELİM,4026
BEDİR,4000
HURŞİT,3998
İMAM,3997
RÜŞTÜ,3996
ETEM,3940
BEHÇET,3939
SAFFET,3924
BASRİ,3921
RAHİM,3914
HACI AHMET,3895
TAYFUN,3884
EBUBEKİR,3874
NUMAN,3871
ERGİN,3827
SAMET,3824
SEYDİ,3823
EDİP,3805
SALAHATTİN,3748
SEYİTHAN,3748
ABDULMECİT,3737
DURSUN ALİ,3726
BEYTULLAH,3691
PAŞA,3687
BURAK,3640
İSLAM,3608
MEMDUH,3599
BEDRETTİN,3591
OSMAN NURİ,3584
RECAİ,3584
MURTAZA,3582
FETTAH,3581
NAİF,3550
MAKSUT,3543
DEDE,3513
SERDAL,3507
GÜNGÖR,3504
EYUP,3475
MEDENİ,3469
AYTEKİN,3427
BAYRAM ALİ,3425
SEYİT AHMET,3425
BURHANETTİN,3378
GÜVEN,3371
VAHAP,3363
ALİM,3358
MEHMET HANİFİ,3332
SEFA,3299
CEM,3289
HABİB,3288
VAKKAS,3280
SUPHİ,3261
NEJDET,3259
TUNCER,3246
KÖKSAL,3233
SEYFULLAH,3231
SALMAN,3202
ŞEYHO,3202
AKIN,3201
AHMET ALİ,3190
SEMİH,3186
VAHDETTİN,3181
ZÜBEYİR,3181
SADİ,3176
MENDERES,3164
YUNİS,3143
KEMALETTİN,3129
MAŞALLAH,3123
CEBRAİL,3096
KUTBETTİN,3083
SELMAN,3075
ALİ HAYDAR,3062
GÜRKAN,3046
AZMİ,3043
DİLAVER,3040
TUFAN,3023
MÜCAHİT,3009
GÜLTEKİN,2988
AYKUT,2981
YILDIRIM,2980
ALİRIZA,2950
UMUT,2942
ALİ KEMAL,2939
ALPER,2931
İSRAFİL,2924
FERİDUN,2900
FEHİM,2891
ŞENER,2888
ŞİNASİ,2863
MUSTAFA ALİ,2854
HALUK,2849
ZEYNAL,2844
DURALİ,2842
ABDURAHMAN,2830
ATİLA,2822
YUSUF ZİYA,2818
ZÜLKÜF,2770
ÖZER,2751
SEYİT ALİ,2744
TOLGA,2741
HIZIR,2701
ABDİL,2686
MİKDAT,2682
RUHİ,2658
MEHMET CAN,2643
İBİŞ,2638
ZİHNİ,2609
OĞUZHAN,2604
RAMİZ,2582
ALİCAN,2576
HALEF,2562
İKRAM,2562
NAFİZ,2559
ABİT,2544
ENDER,2542
CİHAT,2536
HADİ,2531
ABUBEKİR,2525
FADIL,2511
AHMET TURAN,2499
GÜRBÜZ,2497
MUHYETTİN,2494
ŞAMİL,2491
NESİM,2484
ŞAHABETTİN,2484
ABDULHALİM,2483
HAMDULLAH,2480
EMİR,2473
MEHMETALİ,2459
HASAN BASRİ,2441
ALAADDİN,2440
GÖKSEL,2434
ABDULBARİ,2433
FAZIL,2428
NİMET,2423
MEMET ALİ,2421
ARAP,2415
CANER,2402
FERMAN,2391
MÜNİR,2389
MUTLU,2383
ZÜLFÜ,2383
RAMADAN,2381
ŞENEL,2371
NUSRETTİN,2367
BAHTİYAR,2366
KAMURAN,2364
ELVAN,2363
FERZENDE,2354
SELAHADDİN,2342
NUREDDİN,2326
ABDULHAKİM,2324
ŞUAYİP,2314
GÜNAY,2297
HAKİM,2294
MEHMET AKİF,2262
MEHMET ŞÜKRÜ,2260
ENES,2244
ZAHİR,2244
DEMİR,2237
ASİM,2235
NASUH,2230
KURBAN,2227
GARİP,2213
TAYYAR,2206
ABDULLATİF,2205
FAYSAL,2205
SATI,2204
CESİM,2186
AŞIR,2171
DURAK,2155
MEHMET ŞAH,2140
AHMET HAMDİ,2138
HACI OSMAN,2133
MEHMET REŞİT,2128
YILDIRAY,2125
ZEKAİ,2125
ZÜLFÜKAR,2112
FERHAN,2081
ABDO,2080
CUMHUR,2076
ERSAN,2069
MEHMET TAHİR,2062
ZEKERİYE,2059
EFENDİ,2056
ASKER,2051
BOZAN,2047
MEHMET FATİH,2033
ALİŞAN,2029
OLCAY,2025
VEYİS,2025
ZÜLFİKAR,2025
HAMO,2018
SEYDO,2018
KANBER,2004
ÖKKAŞ,2003
ABDULHADİ,1995
SADRETTİN,1988
MAMO,1985
SERCAN,1971
ALİ RİZA,1967
HACI ÖMER,1961
SEZER,1961
RAMİS,1935
ÇELEBİ,1912
SAADETTİN,1910
YENER,1904
SELAHİTTİN,1903
VURAL,1883
EREN,1879
HASBİ,1870
NAMIK,1863
HASİP,1860
ZAKİR,1860
MEMİK,1846
MEHMET ŞAKİR,1843
GANİ,1836
MEHMET YAŞAR,1828
MUHTEREM,1825
CAN,1821
BEHCET,1819
FERUDUN,1810
GÖKMEN,1803
MÜKREMİN,1799
KANİ,1797
FARİS,1776
BEHZAT,1772
KUDRET,1770
HÜSEYİN AVNİ,1769
AĞA,1768
MENDUH,1756
MAZHAR,1754
ABDULSELAM,1739
HAMİ,1733
ALPASLAN,1732
MESTAN,1728
BEDİRHAN,1726
HANEFİ,1719
CİHANGİR,1718
NÜSRET,1712
REMEZAN,1710
NASIR,1708
KAMER,1707
ZÜHTÜ,1706
ABDULCELİL,1705
MÜSLİM,1688
BESİM,1685
HASAN TAHSİN,1681
TURSUN,1681
DURDU MEHMET,1677
HACI MUSTAFA,1675
MUTTALİP,1674
ALATTİN,1666
CEZMİ,1658
YUNUS EMRE,1657
MİKTAT,1654
VEZİR,1639
BİŞAR,1638
MEDET,1636
KIYASETTİN,1629
BAHADIR,1628
ENİS,1624
MEHMET SABRİ,1610
SIRRI,1593
ABDÜLKERİM,1588
ERGÜL,1581
KAMBER,1576
MEHMET TEVFİK,1575
ERAY,1570
GÜNER,1569
TAYFUR,1569
FERAT,1553
HACI İBRAHİM,1546
MEHMET MUSTAFA,1544
MARUF,1536
MEVLUT,1536
LUTFİ,1530
ABDULGANİ,1529
SULTAN,1525
GÜRCAN,1514
HABİL,1509
ZEYNEL ABİDİN,1506
KORAY,1504
EVREN,1497
MEHMET SADIK,1484
HACI HÜSEYİN,1480
ALTAN,1479
MUHAMMER,1472
MUHİDDİN,1465
SÜREYYA,1463
OZAN,1462
HATİP,1458
ÖZDEMİR,1455
NEŞAT,1454
BAHADDİN,1436
MİRZA,1432
POLAT,1431
MİRZE,1411
ABDULMENAF,1410
ABDULCEBBAR,1399
DURSUNALİ,1399
ÜMMET,1385
TİMUR,1380
NİZAM,1374
ZÜLFİ,1373
ŞADİ,1370
FETHULLAH,1368
AYTAÇ,1363
MALİK,1360
FEYYAZ,1356
FELEMEZ,1354
ABDULGAFUR,1352
EJDER,1348
İBRAHİM ETHEM,1347
FETİ,1341
SERACETTİN,1337
AŞUR,1327
VEYSAL,1320
İDİRİS,1320
NECMEDDİN,1317
RESÜL,1312
MAHSUM,1310
SEYHAN,1304
HACI HASAN,1297
MANSUR,1296
ÜNSAL,1294
SEYİT MEHMET,1291
MÜMTAZ,1288
FETULLAH,1286
TAYYİP,1282
ALAEDDİN,1275
ERSOY,1273
AGİT,1269
TEMUR,1266
MAHFUZ,1265
SEÇKİN,1264
TEYFİK,1252
MELİH,1250
AŞKIN,1249
ÖMÜR,1249
RAGIP,1241
DEVRİŞ,1234
HACI BAYRAM,1234
HÜSEYİN HÜSNÜ,1233
NEJAT,1233
SEZAYİ,1230
ABDURREZAK,1229
ORUÇ,1223
